carrera,materia,comision,dia,hora_inicio,hora_fin,tipo,aula,docente
IC,Álgebra y Geometría Analítica,Com 4,Jueves,8:00,10:00,Teórico/Práctica,Aula 26 - Pab. Reforma del 18,Prof. Cristina Basualdo
IC,Análisis Matemático I,Com 1,Miércoles,8:00,10:00,Teórica,Aula 16 - Pab. Reforma del 18,Prof. Lidia de Pablo
IC,Análisis Matemático I,Com 1,Martes,8:00,11:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. D. Coria
IC,Análisis Matemático I,Com 2,Martes,15:00,17:00,Teórica,Aula 23 - Pab. Reforma del 18,Ing. P. Saracho
IC,Análisis Matemático I,Com 2,Jueves,15:00,18:00,Práctica,Aula 22 - Pab. Reforma del 18,Prof. Viviana Yanucci
IC,Análisis Matemático I,Com 3,Lunes,10:00,12:00,Teórica,Aula 16 - Pab. Reforma del 18,Ing. Ariel Gerez
IC,Análisis Matemático I,Com 3,Miércoles,10:00,13:00,Práctica,Aula 16 - Pab. Reforma del 18,Prof. A. Torres
IC,Sistemas de Representación I,Com 1,Lunes,10:00,12:00,Teórica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Allal Tomas
IC,Sistemas de Representación I,Com 1,Miércoles,10:00,12:00,Práctica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Guzman Jose M.
IC,Sistemas de Representación I,Com 2,Lunes,19:00,21:00,Teórica,Aula 20 - Dibujo - Pab. Reforma del 18,Ing. Perez Molina Raul
